#Start x, Start y, Start z, End x, End y, End z
12,33,57,42,188,37
8,54,16,37,86,9
5,135,8,47,182,5
27,259,12,58,334,40
31,360,46,56,346,49
68,344,46,194,404,32
138,348,8,129,407,42
59,195,22,104,210,30
58,193,52,108,113,50
99,114,60,104,126,8
118,32,27,111,67,8
135,170,3,201,241,17
148,221,42,204,107,52
155,248,67,111,243,3
117,227,28,117,268,52
160,125,79,204,87,58
210,86,55,275,30,45
215,107,68,232,148,60
236,158,52,230,191,16
237,149,40,249,190,3
261,94,49,285,110,27
301,15,32,289,109,25
287,114,27,300,173,13
256,236,32,278,216,43
252,240,26,258,320,16
261,323,17,249,362,25
316,275,55,295,324,27
361,236,25,401,248,15
360,206,46,372,101,51
