#Start x, Start y, Start z, End x, End y, End z
40,155,34,13,226,53
19,237,29,69,242,5
12,253,46,32,373,69
36,284,85,52,260,68
58,264,64,68,289,72
53,197,80,130,305,6
34,200,7,97,175,41
102,174,41,131,122,29
91,102,57,104,138,72
100,178,41,93,205,25
102,210,22,159,187,30
169,109,65,129,174,79
122,176,78,101,214,76
100,219,75,113,275,65
117,278,54,126,251,10
117,281,55,117,310,49
128,179,78,145,236,54
146,243,50,154,328,84
153,245,39,196,255,61
176,249,6,143,334,39
200,258,59,160,340,42
199,255,62,241,300,69
229,110,69,202,141,56
198,146,38,174,179,39
174,184,39,230,249,37
244,203,10,237,300,62
206,204,82,204,177,56
206,174,49,237,184,11
245,126,27,282,150,60
302,162,32,374,116,78
302,142,75,286,201,79
297,180,27,344,200,17
341,194,13,373,183,41
304,214,84,366,237,81
245,222,59,304,337,79
300,220,54,296,247,32
291,248,31,271,317,59
295,252,31,280,323,25
305,314,38,394,312,17
314,283,71,348,281,49
349,240,74,349,327,33
